"","Area","Region","YearPeriod","AVG_PercentFemale","AVG_PercentMale"
"1","Albania","Europe","Y20002002","",""
"2","Albania","Europe","Y20012003","",""
"3","Albania","Europe","Y20022004","",""
"4","Albania","Europe","Y20032005","",""
"5","Albania","Europe","Y20042006","",""
"6","Albania","Europe","Y20052007","",""
"7","Albania","Europe","Y20062008","",""
"8","Albania","Europe","Y20072009","",""
"9","Albania","Europe","Y20082010","",""
"10","Albania","Europe","Y20092011","",""
"11","Albania","Europe","Y20102012","",""
"12","Albania","Europe","Y20112013","",""
"13","Albania","Europe","Y20122014","",""
"14","Albania","Europe","Y20132015","",""
"15","Albania","Europe","Y20142016","10.7","10.7"
"16","Albania","Europe","Y20152017","11.7","11.7"
"17","Albania","Europe","Y20162018","12.7","12.7"
"18","Albania","Europe","Y20172019","11","11"
"19","Albania","Europe","Y20182020","9.8","9.8"
"20","Albania","Europe","Y20192021","8.7","8.7"
"21","Albania","Europe","Y20202022","9.2","9.2"
"22","Algeria","Africa","Y20002002","",""
"23","Algeria","Africa","Y20012003","",""
"24","Algeria","Africa","Y20022004","",""
"25","Algeria","Africa","Y20032005","",""
"26","Algeria","Africa","Y20042006","",""
"27","Algeria","Africa","Y20052007","",""
"28","Algeria","Africa","Y20062008","",""
"29","Algeria","Africa","Y20072009","",""
"30","Algeria","Africa","Y20082010","",""
"31","Algeria","Africa","Y20092011","",""
"32","Algeria","Africa","Y20102012","",""
"33","Algeria","Africa","Y20112013","",""
"34","Algeria","Africa","Y20122014","",""
"35","Algeria","Africa","Y20132015","",""
"36","Algeria","Africa","Y20142016","14.1","14.1"
"37","Algeria","Africa","Y20152017","13.9","13.9"
"38","Algeria","Africa","Y20162018","12.5","12.5"
"39","Algeria","Africa","Y20172019","10.2","10.2"
"40","Algeria","Africa","Y20182020","7.2","7.2"
"41","Algeria","Africa","Y20192021","5.3","5.3"
"42","Algeria","Africa","Y20202022","4.3","4.3"
"43","Andorra","Europe","Y20002002","",""
"44","Andorra","Europe","Y20012003","",""
"45","Andorra","Europe","Y20022004","",""
"46","Andorra","Europe","Y20032005","",""
"47","Andorra","Europe","Y20042006","",""
"48","Andorra","Europe","Y20052007","",""
"49","Andorra","Europe","Y20062008","",""
"50","Andorra","Europe","Y20072009","",""
"51","Andorra","Europe","Y20082010","",""
"52","Andorra","Europe","Y20092011","",""
"53","Andorra","Europe","Y20102012","",""
"54","Andorra","Europe","Y20112013","",""
"55","Andorra","Europe","Y20122014","",""
"56","Andorra","Europe","Y20132015","",""
"57","Andorra","Europe","Y20142016","",""
"58","Andorra","Europe","Y20152017","",""
"59","Andorra","Europe","Y20162018","",""
"60","Andorra","Europe","Y20172019","",""
"61","Andorra","Europe","Y20182020","",""
"62","Andorra","Europe","Y20192021","",""
"63","Andorra","Europe","Y20202022","",""
"64","Angola","Africa","Y20002002","",""
"65","Angola","Africa","Y20012003","",""
"66","Angola","Africa","Y20022004","",""
"67","Angola","Africa","Y20032005","",""
"68","Angola","Africa","Y20042006","",""
"69","Angola","Africa","Y20052007","",""
"70","Angola","Africa","Y20062008","",""
"71","Angola","Africa","Y20072009","",""
"72","Angola","Africa","Y20082010","",""
"73","Angola","Africa","Y20092011","",""
"74","Angola","Africa","Y20102012","",""
"75","Angola","Africa","Y20112013","",""
"76","Angola","Africa","Y20122014","",""
"77","Angola","Africa","Y20132015","",""
"78","Angola","Africa","Y20142016","22","22"
"79","Angola","Africa","Y20152017","",""
"80","Angola","Africa","Y20162018","",""
"81","Angola","Africa","Y20172019","25.1","25.1"
"82","Angola","Africa","Y20182020","28.1","28.1"
"83","Angola","Africa","Y20192021","31.8","31.8"
"84","Angola","Africa","Y20202022","32.6","32.6"
"85","Austria","Europe","Y20002002","",""
"86","Austria","Europe","Y20012003","",""
"87","Austria","Europe","Y20022004","",""
"88","Austria","Europe","Y20032005","",""
"89","Austria","Europe","Y20042006","",""
"90","Austria","Europe","Y20052007","",""
"91","Austria","Europe","Y20062008","",""
"92","Austria","Europe","Y20072009","",""
