Area,AVG_PercentFemale,AVG_PercentMale
Albania,73.8,57.2
Algeria,67.5,62.900000000000006
Andorra,0.0,0.0
Angola,139.60000000000002,127.7
Austria,8.5,8.1
Belarus,0.0,0.0
Belgium,3.8,4.1
Benin,97.39999999999999,92.7
Bosnia and Herzegovina,13.1,14.8
Botswana,179.9,143.6
Bulgaria,18.0,16.2
Burkina Faso,93.0,108.0
Burundi,0.0,0.0
Cabo Verde,38.5,38.5
Cameroon,178.0,193.7
Central African Republic,185.39999999999998,185.39999999999998
Chad,0.0,0.0
Comoros,56.8,52.8
Congo,352.5,358.4
Cote d'Ivoire,60.099999999999994,58.900000000000006
Croatia,9.100000000000001,5.6
Czechia,5.6,6.4
Democratic Republic of the Congo,114.4,122.4
Denmark,10.2,7.0
Djibouti,30.8,35.2
Egypt,61.8,49.8
Equatorial Guinea,0.0,0.0
Eritrea,0.0,0.0
Estonia,5.8,6.2
Eswatini,34.8,38.4
Ethiopia,116.8,114.7
Finland,17.3,13.8
France,4.800000000000001,9.1
Gabon,0.0,0.0
Gambia,147.3,155.6
Germany,5.8,7.0
Ghana,42.6,41.6
Greece,16.3,15.8
Guinea,339.9,337.8
Guinea-Bissau,103.2,103.3
Hungary,11.9,9.7
Iceland,10.0,11.4
Ireland,17.7,27.299999999999997
Italy,5.8,13.1
Kenya,170.1,143.8
Latvia,4.4,4.8
Lesotho,118.2,121.3
Liberia,237.4,217.3
Libya,142.7,87.7
Lithuania,12.4,13.2
Luxembourg,6.7,7.5
Madagascar,46.3,37.5
Malawi,362.5,331.6
Mali,0.0,0.0
Malta,11.4,6.0
Mauritania,44.1,44.8
Mauritius,60.3,43.8
Montenegro,18.6,18.0
Morocco,0.0,0.0
Mozambique,210.3,193.3
Namibia,225.0,210.9
Netherlands (Kingdom of the),11.3,9.9
Niger,71.1,66.9
Nigeria,107.3,113.4
North Macedonia,32.0,29.5
Norway,7.1,8.5
Poland,6.2,6.1
Portugal,24.4,23.7
Republic of Moldova,26.2,23.6
Romania,33.9,27.3
Russian Federation,2.1,2.4
Rwanda,0.0,0.0
Sao Tome and Principe,28.8,27.6
Senegal,58.4,66.9
Serbia,19.299999999999997,17.6
Seychelles,12.9,12.9
Sierra Leone,223.0,215.4
Slovakia,9.3,7.1
Slovenia,4.9,2.2
Somalia,85.1,85.1
South Africa,34.8,27.9
South Sudan,317.6,317.6
Spain,12.0,10.4
Sudan,112.0,112.0
Sweden,6.9,8.9
Switzerland,3.7,6.9
Togo,108.69999999999999,132.5
Tunisia,74.4,72.2
Uganda,160.3,174.7
Ukraine,18.6,16.9
United Kingdom of Great Britain and Northern Ireland,11.6,9.4
United Republic of Tanzania,177.6,167.6
Zambia,189.1,189.6
Zimbabwe,243.6,225.1
