"","Area","Y20002002","Y20012003","Y20022004","Y20032005","Y20042006","Y20052007","Y20062008","Y20072009","Y20082010","Y20092011","Y20102012","Y20112013","Y20122014","Y20132015","Y20142016","Y20152017","Y20162018","Y20172019","Y20182020","Y20192021","Y20202022","Region"
"1","Albania","78.9","81.1","84","86.6","89.6","90.5","92.8","96.2","100.4","103.5","105.6","107","109","110.2","113","115.7","117.3","116.5","114.4","","","Europe"
"2","Austria","158","155.4","153.7","153","156.7","159.1","162.3","164.2","168","171.8","173.4","172.6","168.9","165.8","162.7","163.8","164.6","170","176.1","","","Europe"
"3","Belarus","101.1","100.2","97.2","97.3","103.5","111.2","116.6","116.1","118.4","121.8","127.5","127.6","127.7","129","130.2","131.4","131.2","133","132.6","","","Europe"
"4","Belgium","164.1","164.3","162.9","162.1","162.6","164.1","163.7","162.3","161","162.8","163.5","163.9","161.9","163.5","164.5","166.2","165.2","169.1","173.4","","","Europe"
"5","Bosnia and Herzegovina","62.6","62","61.5","63.3","66.7","68.6","70.1","70.8","73.2","75.5","78.2","78.6","79","81","83.8","86","87","88.3","88.8","","","Europe"
"6","Bulgaria","92.3","93","94","95.1","94.7","94.2","93.1","94","94.3","93.8","91.7","90","89.1","90.1","91.1","92.8","97.4","105","115.8","","","Europe"
"7","Croatia","83.9","86.4","92.7","99.1","107.8","114","119.1","118.6","113.4","107.6","107.9","112.6","113.6","112.8","111.7","113.8","115.1","117.2","119.1","","","Europe"
"8","Czechia","113.7","116.7","117.5","121.7","127.5","133.4","136.6","136.1","137.2","135.7","136","135.8","134.2","130.2","130.3","134.4","141.4","145.8","149.6","","","Europe"
"9","Denmark","133.4","132.1","131.3","133.6","133.9","132.9","129.5","129.7","128.4","129.3","128.6","130.2","130.7","131.4","132.2","132.8","134.6","138.7","142.5","","","Europe"
"10","Estonia","91.6","96.6","99.5","97.1","94.9","93.4","94.1","94.3","93.8","92.1","91.6","91.1","97","105.8","115.4","119.6","121.3","128.3","133","","","Europe"
"11","Finland","125.6","126.7","126.5","126.5","127.6","129.4","130.8","131.5","132","134","137.4","140.1","141.6","141.4","141.2","140.3","140.4","137.3","137.3","","","Europe"
"12","France","170.8","170.3","167.1","164.4","162.5","162.1","163.5","164.3","165","162.8","160.1","158.6","154.9","152.1","149.2","149.1","149.6","150.8","151.9","","","Europe"
"13","Germany","139.7","138.5","138.9","138.9","139.4","141.9","143.6","144.3","143.7","144.2","144.7","143.9","142.8","142.6","143.7","145","147.5","154","160.2","","","Europe"
"14","Greece","143.5","145.3","147.5","148.2","148.7","148.9","150","151.9","153","153.6","152","150.1","149.4","149.1","149.3","148.2","150","154.7","156.9","","","Europe"
"15","Hungary","133.3","131.5","133","133.8","137.1","139","139.3","138.5","137.5","136.5","135.1","135.4","136.1","141.2","145.2","149.8","153.1","152.8","152.5","","","Europe"
"16","Iceland","131.9","134.9","140.5","142.7","146.1","148.3","150","149.1","147.1","146.3","147.1","149.5","153.3","158.4","162.3","165.5","166.4","170.4","172.7","","","Europe"
"17","Ireland","136.5","134.5","134","134.1","131.4","129.7","129.4","131","131.3","130.3","130.4","129","129.4","131.4","134.4","140.2","144.1","148.7","153.3","","","Europe"
"18","Italy","154.8","154.4","152.7","150.2","151.5","153.6","156.2","155","155","155.6","157.3","156.7","153.8","149.8","147.1","146.5","146.3","147.4","149.5","","","Europe"
"19","Latvia","100.9","107.4","113.6","116.7","122.1","123.7","124.3","121.9","120.5","120.3","119.3","119.2","120","122.3","123.8","125.5","126.6","130.3","135","","","Europe"
"20","Lithuania","83.3","89.4","92.9","96.5","99","101.8","102.4","101.6","99.8","98.5","96.2","94.3","93.1","94.9","96.7","98.9","101.4","109.5","117.4","","","Europe"
"21","Luxembourg","149.4","152","153","153.3","151.4","147.9","146","145","143.4","140.6","139.5","140","140.1","139.9","139.3","140.6","141.9","145","145.2","","","Europe"
"22","Malta","106.8","106.2","105.8","106.4","108.6","108.8","110.6","110.4","112.7","113.7","115.8","115.8","117","116.2","115.8","117.1","121.4","125.2","127.1","","","Europe"
"23","Montenegro","","","","","","117.5","118.7","121.1","124.5","128.6","131.2","133.2","134.2","135.6","137.2","138.4","140.3","141.3","140.9","","","Europe"
"24","Netherlands (Kingdom of the)","144.6","139.3","135.9","134.6","135.3","134.7","132.3","130.4","128.2","124.8","123.8","123.9","125.4","126.7","128.3","128.3","132","133.4","138","","","Europe"
"25","North Macedonia","85.3","88.6","94.1","97","102.4","108.9","111.5","110.9","105.5","104","102.9","102.3","102","101.3","101.4","102.4","103.8","106.2","109","","","Europe"
"26","Norway","142.4","144.6","147.6","151.3","152.4","151.4","148.3","147.6","146.1","145.3","144.1","143.1","142.6","142.1","142.5","140.9","139.4","138.2","137.3","","","Europe"
"27","Poland","114.6","115","114.7","113.7","113","112.5","112.1","113.5","116.6","120.5","122.7","122","120.4","120.1","121.8","123.5","125.3","127.3","130.3","","","Europe"
"28","Portugal","133.9","134.1","133.8","134.2","135","137.3","139.9","141.9","141.5","140.2","137.9","136.6","134.4","135.3","135.1","135.3","135.3","139.4","144","","","Europe"
"29","Republic of Moldova","43.4","46.5","51","56.2","61.2","68","75.4","82.3","79.4","75","69.6","72","72.7","72.8","72.6","73","73.8","73.7","75.1","","","Europe"
"30","Romania","94.7","98.2","98.4","100.2","101.5","105.3","106.8","107.2","106.2","104.6","103.3","102.9","107.6","113.1","119.5","121.7","122.8","124","126.1","","","Europe"
"31","Russian Federation","79.3","82","84.3","86.5","88.7","91.3","93.4","95","97","98.9","101.4","103.3","105.9","106.5","107.6","107.9","110.1","112.2","115.1","","","Europe"
"32","Serbia","","","","","","83.5","84.3","83.4","83.8","81.7","80.2","78.8","80.9","82.4","84.2","84.1","86.5","87.3","89.9","","","Europe"
"33","Slovakia","102.6","105.4","105.2","103.8","103.6","102.4","101.1","102.2","107.1","112.8","115","116.5","117.9","120","122.2","127.6","133.8","141.1","146.1","","","Europe"
"34","Slovenia","113","117.2","119","119.5","119.1","118.7","120.1","121.1","121.8","121","120","119.3","117.3","114.9","113.2","113.9","114.8","114.7","115.1","","","Europe"
"35","Spain","153.8","151.9","149.5","146.9","145.4","146.1","145.5","145.3","144","143.9","143.6","143.5","142.7","144","146.2","149.8","151.6","152.7","153.6","","","Europe"
"36","Sweden","124.2","124.4","124.6","124.4","123.8","122.7","123.2","125","127.6","129.8","132.1","132.4","133.3","134","136.5","136.5","135.3","133.2","133","","","Europe"
"37","Switzerland","151.6","152.9","153.7","153.5","154.9","155.8","157.4","157","157.4","157.4","155.6","154.4","153.9","156.5","157.1","156.4","156","157","158.8","","","Europe"
"38","Ukraine","75.3","78.5","83.2","86.2","89.1","91.6","94.3","95.6","94.7","91.1","88.7","87.7","89.6","87.2","83.7","80","82.4","84.8","85.9","","","Europe"
"39","United Kingdom of Great Britain and Northern Ireland","139.3","136.9","135.4","136.8","141.4","142.5","142.7","140.2","141","140.7","140.6","139.3","139.2","139.2","138.8","139.1","138.9","141.3","143","","","Europe"
"40","Algeria","67","65.4","63.4","62.1","64.7","65.8","67.7","66.6","72.4","81.3","88.8","93.2","94.5","96.4","97.5","97.3","95.2","92.3","93.1","","","Africa"
"41","Angola","39.4","40.9","42.1","43.8","44.6","45.9","47","48.2","50.6","53.6","55.3","56.2","58.3","60","60.6","59.7","59.1","58.3","56.8","","","Africa"
"42","Benin","48.5","51.4","51.4","50.2","47.2","46.6","46.5","47.9","48.7","48.6","49.6","50.3","50.6","51.2","51.4","51.5","51.3","52.9","56.2","","","Africa"
"43","Botswana","48.4","48.1","50.8","55.4","57.2","57","55","56.4","61.4","67.5","73.3","74.1","72.9","70.8","69.5","68.1","67.3","67","68.3","","","Africa"
"44","Burkina Faso","53.2","55.8","58.6","57.8","56.7","55.1","56.8","57.5","59.8","60.1","61.8","62.7","63.7","64","63.8","63.8","63.7","65","66.1","","","Africa"
"45","Burundi","","","","","","","","","","","","","","","15.2","15.2","15.3","15.5","15.7","","","Africa"
"46","Cabo Verde","66.9","65.9","66.6","67.2","68.9","69.9","71.1","71.5","70.3","69","67.6","66.8","66","65.4","64.8","65","65.5","65.3","67.5","","","Africa"
"47","Cameroon","45.2","46.4","48.9","50","50.8","51.3","52.1","52.8","55.6","57.1","58.9","58.5","58.3","57.5","57.1","56.6","56","55.3","54.9","","","Africa"
"48","Central African Republic","62.8","64.4","65.8","65.9","66.2","67.4","70.1","72","70.7","69","67.2","66.7","62.9","58.4","55.5","56.5","59.1","59.7","58.6","","","Africa"
"49","Chad","62.1","61.6","60.7","59.1","57.8","54.6","52.4","50.2","54.9","59","64.3","65.1","65.4","65.7","65.4","65.7","65.9","66.5","66.3","","","Africa"
"50","Comoros","","","","","","","","","","","60.1","60.6","61.8","62.2","62.7","62.4","61.9","60.3","59.7","","","Africa"
"51","Congo","55.8","56.4","55.4","51.4","50.3","48.9","48.6","46.4","44","43.3","42.1","42.1","41.4","42.1","45.2","47.9","48.5","49.3","52.1","","","Africa"
"52","Côte d'Ivoire","54.3","55.5","55.7","56.3","55.5","55.2","52.7","52.2","50.6","50.3","49.8","50.5","50.3","49.5","48","47.8","47.3","48.8","50.2","","","Africa"
"53","Democratic Republic of the Congo","","","","","","","","","","","25.1","25.3","25.8","26.4","26.4","26","25.4","25.2","24.2","","","Africa"
"54","Djibouti","47.7","49","52","57.2","61.4","65.5","67.5","67","62.4","58.4","56.5","58.2","60.5","63.1","63.9","63.4","63.2","62","62","","","Africa"
"55","Egypt","57.3","57.9","57.6","57.3","56.8","58.8","60.3","60.9","61.4","61.3","61.8","60.6","59.4","58.4","57.8","57.8","58.2","59.1","60.7","","","Africa"
"56","Eswatini","45.4","46.3","52.2","54.9","54.8","51.2","47.4","45.9","45.1","45.7","47.1","47.4","51.7","54.8","56.3","53.8","53.2","53.9","55.5","","","Africa"
