"","Area","Region","YearPeriod","PercentStunted","PercentOverweight"
"1","Albania","Europe","Y2000","29.5","29.5"
"2","Albania","Europe","Y2001","29.6","29.6"
"3","Albania","Europe","Y2002","29.5","29.5"
"4","Albania","Europe","Y2003","29.2","29.2"
"5","Albania","Europe","Y2004","28.5","28.5"
"6","Albania","Europe","Y2005","27.6","27.6"
"7","Albania","Europe","Y2006","26.3","26.3"
"8","Albania","Europe","Y2007","24.7","24.7"
"9","Albania","Europe","Y2008","22.9","22.9"
"10","Albania","Europe","Y2009","21.1","21.1"
"11","Albania","Europe","Y2010","19.3","19.3"
"12","Albania","Europe","Y2011","17.8","17.8"
"13","Albania","Europe","Y2012","16.4","16.4"
"14","Albania","Europe","Y2013","15.2","15.2"
"15","Albania","Europe","Y2014","14.3","14.3"
"16","Albania","Europe","Y2015","13.5","13.5"
"17","Albania","Europe","Y2016","12.7","12.7"
"18","Albania","Europe","Y2017","11.9","11.9"
"19","Albania","Europe","Y2018","11.1","11.1"
"20","Albania","Europe","Y2019","10.3","10.3"
"21","Albania","Europe","Y2020","9.5","9.5"
"22","Albania","Europe","Y2021","8.8","8.8"
"23","Albania","Europe","Y2022","8.3","8.3"
"24","Algeria","Africa","Y2000","22.3","22.3"
"25","Algeria","Africa","Y2001","21.5","21.5"
"26","Algeria","Africa","Y2002","20.7","20.7"
"27","Algeria","Africa","Y2003","19.8","19.8"
"28","Algeria","Africa","Y2004","18.9","18.9"
"29","Algeria","Africa","Y2005","18.1","18.1"
"30","Algeria","Africa","Y2006","17.2","17.2"
"31","Algeria","Africa","Y2007","16.3","16.3"
"32","Algeria","Africa","Y2008","15.4","15.4"
"33","Algeria","Africa","Y2009","14.4","14.4"
"34","Algeria","Africa","Y2010","13.6","13.6"
"35","Algeria","Africa","Y2011","12.8","12.8"
"36","Algeria","Africa","Y2012","12.1","12.1"
"37","Algeria","Africa","Y2013","11.6","11.6"
"38","Algeria","Africa","Y2014","11.1","11.1"
"39","Algeria","Africa","Y2015","10.7","10.7"
"40","Algeria","Africa","Y2016","10.4","10.4"
"41","Algeria","Africa","Y2017","10","10"
"42","Algeria","Africa","Y2018","9.7","9.7"
"43","Algeria","Africa","Y2019","9.4","9.4"
"44","Algeria","Africa","Y2020","9.1","9.1"
"45","Algeria","Africa","Y2021","8.8","8.8"
"46","Algeria","Africa","Y2022","8.6","8.6"
"47","Angola","Africa","Y2000","46.5","46.5"
"48","Angola","Africa","Y2001","43.5","43.5"
"49","Angola","Africa","Y2002","40.6","40.6"
"50","Angola","Africa","Y2003","38","38"
"51","Angola","Africa","Y2004","35.7","35.7"
"52","Angola","Africa","Y2005","33.9","33.9"
"53","Angola","Africa","Y2006","32.5","32.5"
"54","Angola","Africa","Y2007","31.6","31.6"
"55","Angola","Africa","Y2008","30.9","30.9"
"56","Angola","Africa","Y2009","30.7","30.7"
"57","Angola","Africa","Y2010","30.8","30.8"
"58","Angola","Africa","Y2011","31.1","31.1"
"59","Angola","Africa","Y2012","31.8","31.8"
"60","Angola","Africa","Y2013","32.8","32.8"
"61","Angola","Africa","Y2014","34.1","34.1"
"62","Angola","Africa","Y2015","35.6","35.6"
"63","Angola","Africa","Y2016","37.2","37.2"
"64","Angola","Africa","Y2017","38.7","38.7"
"65","Angola","Africa","Y2018","40.2","40.2"
"66","Angola","Africa","Y2019","41.4","41.4"
"67","Angola","Africa","Y2020","42.4","42.4"
"68","Angola","Africa","Y2021","43.1","43.1"
"69","Angola","Africa","Y2022","43.6","43.6"
"70","Belarus","Europe","Y2000","4.7","4.7"
"71","Belarus","Europe","Y2001","4.5","4.5"
"72","Belarus","Europe","Y2002","4.5","4.5"
"73","Belarus","Europe","Y2003","4.4","4.4"
"74","Belarus","Europe","Y2004","4.5","4.5"
"75","Belarus","Europe","Y2005","4.5","4.5"
"76","Belarus","Europe","Y2006","4.4","4.4"
"77","Belarus","Europe","Y2007","4.4","4.4"
"78","Belarus","Europe","Y2008","4.4","4.4"
"79","Belarus","Europe","Y2009","4.1","4.1"
"80","Belarus","Europe","Y2010","4","4"
"81","Belarus","Europe","Y2011","3.9","3.9"
"82","Belarus","Europe","Y2012","3.9","3.9"
"83","Belarus","Europe","Y2013","3.8","3.8"
"84","Belarus","Europe","Y2014","3.8","3.8"
"85","Belarus","Europe","Y2015","3.8","3.8"
"86","Belarus","Europe","Y2016","3.7","3.7"
"87","Belarus","Europe","Y2017","3.7","3.7"
"88","Belarus","Europe","Y2018","3.7","3.7"
"89","Belarus","Europe","Y2019","3.7","3.7"
"90","Belarus","Europe","Y2020","3.6","3.6"
"91","Belarus","Europe","Y2021","3.6","3.6"
"92","Belarus","Europe","Y2022","3.6","3.6"
"93","Belgium","Europe","Y2000","4","4"
"94","Belgium","Europe","Y2001","4","4"
"95","Belgium","Europe","Y2002","4","4"
"96","Belgium","Europe","Y2003","3.9","3.9"
"97","Belgium","Europe","Y2004","3.8","3.8"
"98","Belgium","Europe","Y2005","3.7","3.7"
"99","Belgium","Europe","Y2006","3.6","3.6"
"100","Belgium","Europe","Y2007","3.5","3.5"
"101","Belgium","Europe","Y2008","3.4","3.4"
"102","Belgium","Europe","Y2009","3.2","3.2"
"103","Belgium","Europe","Y2010","3.1","3.1"
"104","Belgium","Europe","Y2011","2.9","2.9"
"105","Belgium","Europe","Y2012","2.8","2.8"
"106","Belgium","Europe","Y2013","2.7","2.7"
"107","Belgium","Europe","Y2014","2.7","2.7"
"108","Belgium","Europe","Y2015","2.6","2.6"
"109","Belgium","Europe","Y2016","2.6","2.6"
"110","Belgium","Europe","Y2017","2.6","2.6"
"111","Belgium","Europe","Y2018","2.5","2.5"
"112","Belgium","Europe","Y2019","2.5","2.5"
"113","Belgium","Europe","Y2020","2.5","2.5"
"114","Belgium","Europe","Y2021","2.4","2.4"
"115","Belgium","Europe","Y2022","2.4","2.4"
"116","Benin","Africa","Y2000","34.9","34.9"
"117","Benin","Africa","Y2001","35","35"
"118","Benin","Africa","Y2002","35.2","35.2"
"119","Benin","Africa","Y2003","35.4","35.4"
"120","Benin","Africa","Y2004","35.7","35.7"
"121","Benin","Africa","Y2005","36.1","36.1"
"122","Benin","Africa","Y2006","36.4","36.4"
"123","Benin","Africa","Y2007","36.4","36.4"
"124","Benin","Africa","Y2008","36.2","36.2"
"125","Benin","Africa","Y2009","35.8","35.8"
"126","Benin","Africa","Y2010","35.2","35.2"
"127","Benin","Africa","Y2011","34.5","34.5"
"128","Benin","Africa","Y2012","33.9","33.9"
"129","Benin","Africa","Y2013","33.5","33.5"
"130","Benin","Africa","Y2014","33.1","33.1"
"131","Benin","Africa","Y2015","32.9","32.9"
"132","Benin","Africa","Y2016","32.7","32.7"
"133","Benin","Africa","Y2017","32.5","32.5"
"134","Benin","Africa","Y2018","32.3","32.3"
"135","Benin","Africa","Y2019","31.9","31.9"
"136","Benin","Africa","Y2020","31.4","31.4"
"137","Benin","Africa","Y2021","30.9","30.9"
"138","Benin","Africa","Y2022","30.4","30.4"
"139","Bosnia and Herzegovina","Europe","Y2000","12.4","12.4"
"140","Bosnia and Herzegovina","Europe","Y2001","11.8","11.8"
"141","Bosnia and Herzegovina","Europe","Y2002","11.6","11.6"
"142","Bosnia and Herzegovina","Europe","Y2003","11.4","11.4"
"143","Bosnia and Herzegovina","Europe","Y2004","11.3","11.3"
"144","Bosnia and Herzegovina","Europe","Y2005","11.2","11.2"
"145","Bosnia and Herzegovina","Europe","Y2006","11.1","11.1"
"146","Bosnia and Herzegovina","Europe","Y2007","11","11"
"147","Bosnia and Herzegovina","Europe","Y2008","10.8","10.8"
"148","Bosnia and Herzegovina","Europe","Y2009","10.4","10.4"
"149","Bosnia and Herzegovina","Europe","Y2010","10","10"
"150","Bosnia and Herzegovina","Europe","Y2011","9.6","9.6"
"151","Bosnia and Herzegovina","Europe","Y2012","9.2","9.2"
"152","Bosnia and Herzegovina","Europe","Y2013","8.9","8.9"
"153","Bosnia and Herzegovina","Europe","Y2014","8.7","8.7"
"154","Bosnia and Herzegovina","Europe","Y2015","8.6","8.6"
"155","Bosnia and Herzegovina","Europe","Y2016","8.5","8.5"
"156","Bosnia and Herzegovina","Europe","Y2017","8.4","8.4"
"157","Bosnia and Herzegovina","Europe","Y2018","8.4","8.4"
"158","Bosnia and Herzegovina","Europe","Y2019","8.3","8.3"
